time,l_hip_yaw,l_hip_roll,l_hip_pitch,l_knee,l_ank_pitch,l_ank_roll,r_hip_yaw,r_hip_roll,r_hip_pitch,r_knee,r_ank_pitch,r_ank_roll,l_sho_pitch,l_sho_roll,l_el,r_sho_pitch,r_sho_roll,r_el,head_pan,head_tilt
1745913222.3176374,-1.8133273728354775e-18,1.6301421970083005e-17,-4.9242924829842096e-17,-1.3211524893892093e-17,2.2171982579451807e-17,-4.54095820638325e-18,1.0216583608686813e-18,-1.9475393584846863e-18,3.6260829707231865e-17,3.441764334599078e-17,-4.986203079315476e-18,1.505814488455702e-18,-1.0173388454007573e-18,7.329002392255356e-17,-1.0754592465463293e-17,-9.301507467580858e-19,-5.719637878773913e-17,-1.1691381776070811e-17,6.260534285915523e-19,-1.4624729773769323e-17
1745913222.5716403,-0.030138553324443127,-0.6588172188108568,-0.17104156481923555,0.14556013273253676,-0.46030155581452525,0.05883358956517755,-0.14817502662884213,0.700578204533916,-0.4192008320545301,-0.13377330954656758,-0.15468199711781716,0.24099618449166874,-0.0009157330263907707,-0.13926114657387423,0.02816319853804362,0.0008551836739265243,0.14595864161809574,-0.02880244602777312,0.022602142237137773,0.28916394887135394
1745913222.8335652,0.05098955112480506,0.014880394800146073,0.38148318816390603,0.07565648908853725,0.22979994869405515,0.1509060551637076,0.13879300329469924,-0.3324251872679761,0.18555900078412135,-0.12344103647049594,0.425258308965679,0.08152871023847089,-0.0009159641702972174,-0.14377661522078883,0.029128049845352826,0.0010864150145555814,0.14276154791031057,-0.028002228432227588,-0.005010915283860835,0.2810717181097015
1745913223.0980935,0.06921982020546771,0.05879687787792928,0.4215442583268123,0.07082951161506736,0.2795889444669466,0.16173334147047785,0.15381000455283278,-0.2818445785313886,0.22705981511559226,-0.1228942130325766,0.4660086906518819,0.0887136442983156,-0.0009465771884760242,-0.14347900256238497,0.028341405928660364,0.0009938796719462257,0.14362991759976068,-0.028496056703251928,0.0014977568044079032,0.282123989683186
1745913223.3507543,0.07816749854504275,0.11887456018524249,0.3763390575475554,0.05026914556180743,0.375235742354695,0.1411327883662199,0.14119874684623052,-0.3130245114483956,0.32325763793794526,-0.046193799442037345,0.3007342103269276,0.06374552498013701,-0.001335900293244288,-0.11105462735597464,-0.019398746249809206,0.0014038939352857946,0.11070747858345956,0.01917702019832294,0.00041254577718172143,0.27014258362861343
1745913223.6010363,0.09186585575605039,0.13781140887110033,0.2978587147564515,0.05387869511719756,0.35145051412016604,0.11370653675902921,0.10819865885853254,-0.21270002533528864,0.4164875413283454,0.03228913487447197,0.1834642365479606,0.058929580693170336,0.0025951076424397326,0.5001754606246954,-0.25286822401464054,-0.0027560901342225173,-0.49910461451341526,0.2525583995062703,0.0057381902963712685,0.20519181721782168
1745913223.8551388,0.11402600920579084,0.17260656587918308,0.5022313978438275,0.08742162624725391,0.32588815062870197,0.15046596672346096,0.1308550660722278,-0.38673814509491444,0.42013409888264164,0.022717373173582328,0.2973590575398348,0.08405786657009005,-0.0012949766578011308,-0.05686720694798714,-0.09684720705383947,0.0015204638049435193,0.05709183592298885,0.09695809592988099,0.0015052085776867533,0.29364960256416295
1745913224.1105995,0.11309049317814408,0.1870124183598667,0.5868300324756839,0.08666875274946101,0.16326543280779174,0.14536610835855748,0.12302648404018589,-0.42096315784355676,0.32346156775644197,0.0019545192944431765,0.4384126954164105,0.09046742012261905,-3.113650337149078e-05,-0.0680823376814587,-0.07616996532299393,0.0001354572545257348,0.06807539426476991,0.07636096287944777,0.0003815862940272751,0.31860372816691457
1745913224.3648138,0.06366051076313997,0.863133512885297,0.32313496005717374,0.03620733626559972,-0.08758010822727384,0.04286484045032172,0.030853979416089184,-0.7501965617367463,-0.037956038318541364,0.09833831683403403,0.2186391856131965,-0.14152513350315007,0.0009435931855103686,-0.07423212300403624,-0.0604939776323672,0.002353202054887588,0.07702490694833028,0.05981409085525845,0.0040244377174796534,0.33845721970742015
1745913224.6177163,0.11363712033171407,0.20069577647362447,0.7649522187458633,0.10711285200714657,-0.024440130437994183,0.14649018427004415,0.12838469385329088,-0.47937621230669114,0.31633175591735935,0.0176903860505543,0.5704308775983836,0.1130663613792833,0.0017959463164345774,-0.030109107302054825,-0.11751435646823868,-0.003197625419324006,0.02971452497460234,0.11783799090346704,-0.0012082468568738317,0.3595321158270788
1745913224.8723774,0.12912354863898826,0.14885880383902989,0.8245311191345231,0.032856448012077155,-0.08971450918042252,0.14707292521739443,0.12073951694529272,-0.4569854369454537,0.26713638380231836,0.045059420116087885,0.6423089028533799,0.12232795877107779,0.003995894893127631,-0.03434382229357087,-0.09949668957943919,-0.003707186606996966,0.03460796932051996,0.0996377830653097,-0.001424891822462457,0.37384218935372504
1745913225.1268997,0.14586152580029743,0.10678520240514425,0.8504957370142029,-0.06921501299519843,-0.09523353650587854,0.15579679824754566,0.10809961238686171,-0.4234567549226855,0.24161794447766263,0.10943912118635093,0.6729968916331431,0.13614103535914523,0.0053975477064502194,-0.035445178232553644,-0.08396658304685697,-0.005208426263026022,0.03559356520801957,0.08406680952874929,-0.0004428924733182701,0.3768185654891385
1745913225.3804207,-0.08241071672694998,0.018843398711987147,0.9585035550597986,0.7319230350906387,-0.091662414388634,-0.13427735434422658,1.171802850571109,0.897436968429006,-0.12393274377454223,0.01807194697861928,2.345223016803406,0.09596704325555028,0.10563291632448267,-0.08017167981149802,-0.029879842075816794,0.01732341767257932,0.055085949114726585,0.033017097020365364,0.07525704286523459,0.4180532879450393
1745913225.6349587,0.004727410390624051,-0.007985712008431128,-0.6118032684104097,0.06810021094403364,0.03718140880628288,0.0056859595004430125,-0.043762014201760256,1.1528592280660706,-1.521622152936534,0.3504997373907507,0.2871164448199854,-0.38828197817644977,-0.009050991294001581,-0.08270776649489292,-0.0024546404653124996,0.01892256714598685,0.07734739451358127,0.004192937013567551,0.050449189909737034,0.44188345458888584
1745913225.8872707,0.0028643109595252484,0.04254974083032986,-0.3469476406794238,-0.01972177376194811,-0.19226773394563812,0.005459668458086872,-0.17616403841494854,1.357573076250805,0.28641700305381795,2.490528793196801,-2.0882081919856295,-1.0736986851521848,-0.010482814608236484,-0.07970942426351406,0.0017822262123602449,0.01966409529124133,0.09090608001024741,-0.002750183900935801,0.033701716267736416,0.15439824993952
1745913226.1410606,0.4190757542839961,-0.3873808266323102,-0.9686041024806995,-1.7566757902027508,0.9732636101219424,-0.7107974534755184,-0.28994695360579886,1.0690489598481667,0.8511532965280174,1.6621042665828927,-1.432928538055199,-0.5061205441637378,0.09462437339123511,-0.06467102239505812,0.0023315998928740166,-0.008360280291865935,0.05804053601054348,-8.635873512195619e-05,-0.02702964089750619,-0.19178229807392752
