time,l_hip_yaw,l_hip_roll,l_hip_pitch,l_knee,l_ank_pitch,l_ank_roll,r_hip_yaw,r_hip_roll,r_hip_pitch,r_knee,r_ank_pitch,r_ank_roll,l_sho_pitch,l_sho_roll,l_el,r_sho_pitch,r_sho_roll,r_el,head_pan,head_tilt
1747906284.338755,2.172494419992313e-18,-1.896485213300342e-17,-5.217290863194799e-17,3.507396764461548e-18,1.9613236634201126e-17,4.508313902764954e-19,1.2558098177588116e-18,-1.9314924491419544e-17,3.257100383152912e-17,3.287578766328856e-17,3.4609344496490602e-18,-1.4502572661105178e-18,-1.0440350022385918e-18,5.20154226437939e-17,-1.7829057941337467e-17,-7.4260073198995205e-19,-4.3412034019017984e-17,-2.0566564211959152e-17,-1.0895984195928414e-17,-2.2607637719138684e-17
1747906284.5919063,-0.030138553324443127,-0.6588172188108568,-0.17104156481923555,0.14556013273253676,-0.46030155581452525,0.05883358956517755,-0.14817502662884213,0.700578204533916,-0.4192008320545301,-0.13377330954656758,-0.15468199711781716,0.24099618449166874,-0.0009157330263907707,-0.13926114657387423,0.02816319853804362,0.0008551836739265243,0.14595864161809574,-0.02880244602777312,0.022602142237137773,0.28916394887135394
1747906284.8571126,0.05257363487654423,0.056994525894584494,0.3956316315764461,0.07730115265028399,0.24122676805528656,0.16466686259690216,0.14822136099154354,-0.3333725892777035,0.19501757229496242,-0.12611767389027978,0.4408286838331967,0.08599091535782115,-0.0009354626157872814,-0.14295121492030327,0.028559890818410896,0.0010478046947490494,0.14287712340435685,-0.02820683967297454,-0.001288604854178612,0.28185823677371663
1747906285.1078775,0.07212439096107108,0.062321864080219634,0.4241706857165369,0.06983936870164852,0.28443412284137765,0.16307255422283568,0.15305164790979536,-0.2811011916605078,0.23089799671827524,-0.12205514618522552,0.46802195343402736,0.08994918416620826,-0.000956724684323395,-0.14344364998300865,0.028343091978829015,0.0009841999281924789,0.1437131438264095,-0.028513191372978912,0.00192168240739585,0.28202712376976447
1747906285.358324,0.06133675420436429,0.09320264845489924,0.34647861822329895,0.018542357364033264,0.3109495739859883,0.13161230494782053,0.13318476293004874,-0.3090197872183847,0.21611699918876248,-0.07332147514051152,0.35776343568432867,0.05464885246568846,-0.0010663551082179116,-0.14401267142077714,0.028227006007821187,0.001130403492370389,0.1429095822167997,-0.02843116977388381,-0.0020288120033836164,0.27206712889313805
1747906285.617281,0.09388202709914428,0.14674548285397312,0.4193312097452956,0.08283498046560192,0.36319171263913475,0.14865354381506876,0.1361774058492374,-0.3319959736783207,0.3754115780244658,-0.02405878873129298,0.28193342489592144,0.07483120994438466,-0.001466690096289761,-0.08393297920140008,-0.05860230614243007,0.0015706048507135523,0.08416407324147634,0.058455386652132804,0.002225954774096107,0.2774237816393915
1747906285.8677232,0.10218676743790259,0.17507287005205258,0.4875343264258216,0.08357162351484058,0.25934351879277434,0.1461704171674212,0.1259015475718081,-0.37859887476418946,0.32653092109361387,-0.02324954790118403,0.37018704365363286,0.07774043676194345,-0.0009658402779288078,-0.08603740593342515,-0.054278169091102425,0.0010734008257318624,0.08611455612337432,0.05441002248396945,0.0012684870358890784,0.29584894079722673
1747906286.120417,0.11005758398477078,0.18741258519721257,0.5965982062324257,0.13879037981077147,0.1373418966079793,0.14356256773303017,0.12310514215832315,-0.42099097232059396,0.33669033132259074,-0.029112907646697456,0.44391424142908714,0.08960101730016244,-0.00014373159848851528,-0.05953657099163915,-0.08962459114614792,-0.00012899301694911593,0.05933312645578398,0.0899085406782927,-3.973982302315931e-05,0.31989475759439573
1747906286.3786314,0.10211436875254291,0.18963177589210695,0.6721250318416807,0.10881406172428582,0.003532926962876155,0.13823019099200298,0.12741220019460783,-0.4423447686143259,0.24559061138930982,-0.03401226719046177,0.5645474078796734,0.09454468266753942,0.0015160404747959042,-0.07246291888940351,-0.06429689720872699,-0.001349629239362554,0.0724264880034281,0.06444109667071929,-0.0007604625151144647,0.341947893650842
1747906286.6320438,0.09926661425087699,0.17843659217878155,0.717260850117962,0.037438936709239624,-0.0463249204781322,0.14193797120373566,0.1312063048764673,-0.4454723177012065,0.20289714166903053,0.0031502952988735457,0.6279547906247828,0.10505700221083734,0.0029154635077781638,-0.07998472211689693,-0.04444809573704986,-0.0027937563271278995,0.0800037073013933,0.04458280754121444,-0.0006260603263138959,0.35029169702431123
